Fold,Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
3,BraTS-PED-00110-000-t1c,0.903088927268982,0.9539671,0.95221984,2.4494898319244385,2.2360680103302,2.236068
3,BraTS-PED-00113-000-t1c,0.3149365484714508,0.5011959,0.7448183,14.866068840026855,20.904544830322266,17.0
3,BraTS-PED-00114-000-t1c,0.8428852558135986,0.78294724,0.9042649,2.4494898319244385,6.0,4.994944
3,BraTS-PED-00122-000-t1c,1.0,0.035867594,0.6416631,373.0,20.413227081298828,8.124039
3,BraTS-PED-00125-000-t1c,0.1254705190658569,0.0067924657,0.9108457,26.00960922241211,34.89985656738281,5.3851647
3,BraTS-PED-00132-000-t1c,0.7422459721565247,0.28005558,0.7365506,9.43398094177246,28.75847053527832,4.690416
3,BraTS-PED-00140-000-t1c,0.135454460978508,0.4027391,0.94840413,15.809796333312988,17.0587215423584,2.236068
3,BraTS-PED-00167-000-t1c,0.6920937895774841,0.10109975,0.6761426,3.0,16.79433822631836,100.06798
3,BraTS-PED-00171-000-t1c,1.0,0.49012753,0.85233235,373.0,16.278820037841797,3.1622777
4,BraTS-PED-00003-000-t1c,0.8827873468399048,0.85965115,0.87956,3.605551242828369,4.582575798034668,6.4031243
4,BraTS-PED-00004-000-t1c,0.2089608013629913,0.45940444,0.70555454,18.055469512939453,21.0,15.652476
4,BraTS-PED-00032-000-t1c,0.0186335407197475,7.547929e-05,0.18950675,11.747340202331545,85.55523681640625,38.5908
4,BraTS-PED-00042-000-t1c,0.6687952280044556,0.89430714,0.92747974,3.605551242828369,13.0,12.369317
4,BraTS-PED-00044-000-t1c,0.4763414561748504,0.46221787,0.78858066,22.494443893432617,25.913311004638672,18.973665
4,BraTS-PED-00047-000-t1c,0.5710045099258423,0.3606578,0.90748346,11.045360565185549,25.15949058532715,4.472136
4,BraTS-PED-00057-000-t1c,0.6563130021095276,0.6848937,0.92091614,4.123105525970459,15.0,3.1622777
4,BraTS-PED-00070-000-t1c,0.4333585202693939,0.57126176,0.913469,6.0,10.24695110321045,4.472136
4,BraTS-PED-00098-000-t1c,0.0,0.30131713,0.93745285,33.546234130859375,19.02629852294922,2.4494898
4,BraTS-PED-00099-000-t1c,0.152125284075737,0.00053080724,0.1857085,75.3425521850586,48.02082824707031,20.322401
4,BraTS-PED-00107-000-t1c,1.0,0.039521836,0.9449364,373.0,22.113344192504883,1.4142135
4,BraTS-PED-00118-000-t1c,0.3656044602394104,0.23405424,0.9472573,19.442222595214844,24.494897842407227,4.8989797
4,BraTS-PED-00121-000-t1c,0.7732459902763367,0.39662138,0.8882016,13.388418197631836,20.615528106689453,7.0
4,BraTS-PED-00129-000-t1c,0.5622683763504028,0.72460794,0.86289126,9.05538558959961,10.24695110321045,76.71375
4,BraTS-PED-00130-000-t1c,0.0,0.0,0.78052473,373.0,373.0,54.58754
4,BraTS-PED-00133-000-t1c,0.69944828748703,0.4683948,0.88560283,2.8284270763397217,8.83176040649414,4.1231055
4,BraTS-PED-00134-000-t1c,0.7800127863883972,0.37667003,0.88885546,3.605551242828369,18.466184616088867,3.6055512
4,BraTS-PED-00137-000-t1c,0.7732459902763367,0.39662138,0.8882016,13.388418197631836,20.615528106689453,7.0
4,BraTS-PED-00139-000-t1c,0.7440938353538513,0.30635327,0.874139,57.1699104309082,48.36320877075195,26.615767
0,AVERAGE,0.6423046603798866,0.40868662980000003,0.831216867,119.78333969116211,34.482796943187715,13.379368485
1,AVERAGE,0.3573841130360961,0.30096150182634995,0.7536770190000001,156.37088136672975,73.404296708107,13.270709895
2,AVERAGE,0.7298134595155716,0.367267311084,0.797499629,60.309535932540896,34.38221127986908,14.13387693
3,AVERAGE,0.5095758974552155,0.34325256413500005,0.846894993,119.27393810153008,35.80798698663712,17.853127535
4,AVERAGE,0.5140126008344325,0.39669274487,0.8061222010526317,55.49704957008362,42.855373432761745,16.464564721052632
ALL,AVERAGE,0.5509878992281779,0.3630355786811818,0.8070918381818183,102.71917013808934,44.199979127055464,15.005741278787879
