Fold,Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
1,BraTS-MEN-00004-000-t1c,0.9092418551445008,0.9100327,0.34958383,1.4142135381698608,1.4142135381698608,17.57839584350586
1,BraTS-MEN-00010-000-t1c,0.9116328954696656,0.912039,0.86485445,2.0,2.0,2.2360680103302
1,BraTS-MEN-00012-000-t1c,0.8047722578048706,0.7733749,0.66183466,5.099019527435303,5.74456262588501,76.62732696533203
1,BraTS-MEN-00017-000-t1c,0.9080720543861388,0.91620743,0.9130792,7.874007701873779,7.874007701873779,5.0
1,BraTS-MEN-00018-000-t1c,0.8531414270401001,0.9040379,0.91327786,7.563002586364746,6.0,4.123105525970459
1,BraTS-MEN-00020-000-t1c,0.0,0.0,0.0,373.0,373.0,93.96696472167967
1,BraTS-MEN-00022-000-t1c,0.9060761332511902,0.91597813,0.7903549,2.2360680103302,2.2360680103302,8.306623458862305
1,BraTS-MEN-00052-000-t1c,0.947523295879364,0.96188176,0.9569934,3.0,2.8284270763397217,3.0
1,BraTS-MEN-00053-000-t1c,0.90584534406662,0.8534021,0.8877896,4.242640495300293,5.4772257804870605,6.164413928985596
1,BraTS-MEN-00056-000-t1c,0.0,0.0,0.0,373.0,373.0,71.15933227539062
1,BraTS-MEN-00059-000-t1c,0.9689424633979796,0.9803465,0.9401721,1.0,1.0,2.0
1,BraTS-MEN-00070-000-t1c,0.8850552439689636,0.88135594,0.7948673,1.4142135381698608,1.4142135381698608,88.50762176513672
1,BraTS-MEN-00074-007-t1c,0.0,0.0,0.0,373.0,373.0,373.0
1,BraTS-MEN-00081-000-t1c,0.7954163551330566,0.78969955,0.66203517,33.99558639526367,33.99558639526367,31.837066650390625
1,BraTS-MEN-00094-000-t1c,0.0,0.0,0.0,373.0,373.0,124.17552185058594
1,BraTS-MEN-00103-000-t1c,0.0,0.0,0.0,373.0,373.0,63.60345458984375
1,BraTS-MEN-00108-004-t1c,0.0,0.0,0.0,373.0,373.0,86.75885772705078
1,BraTS-MEN-00111-000-t1c,0.0,0.0,0.0,75.77095794677734,37.0924072265625,71.29199981689453
1,BraTS-MEN-00113-000-t1c,0.9177170395851136,0.92571664,0.9520744,3.0,2.2360680103302,1.4142135381698608
1,BraTS-MEN-00119-000-t1c,0.0,0.0,0.0,373.0,373.0,88.0738296508789
1,BraTS-MEN-00122-000-t1c,0.7133842706680298,0.7005897,0.89986944,12.409673690795898,11.842705726623535,9.43398094177246
1,BraTS-MEN-00125-000-t1c,0.0,0.0,0.0,373.0,373.0,100.60790252685548
1,BraTS-MEN-00138-000-t1c,0.0,0.0,0.0,373.0,373.0,68.12488555908203
1,BraTS-MEN-00152-000-t1c,0.869661808013916,0.8875839,0.81760055,3.0,2.8284270763397217,56.40035629272461
1,BraTS-MEN-00166-000-t1c,0.9145911931991576,0.91043776,0.9223436,4.123105525970459,4.898979663848877,4.123105525970459
1,BraTS-MEN-00167-000-t1c,0.6238433718681335,0.81324923,0.9056167,14.696938514709473,10.730779647827148,42.58931350708008
1,BraTS-MEN-00177-000-t1c,0.948938012123108,0.9667618,0.6902968,2.2360680103302,1.825793743133545,14.712220191955566
1,BraTS-MEN-00192-000-t1c,0.5434269309043884,0.5217391,0.26177934,10.488088607788086,10.65830421447754,15.62049961090088
1,BraTS-MEN-00200-000-t1c,0.9308952689170836,0.9161545,0.4424856,1.7320507764816284,100.20877838134766,101.9156494140625
1,BraTS-MEN-00202-000-t1c,0.6028782725334167,0.5878004,0.92387867,3.0,3.0,2.931345701217652
1,BraTS-MEN-00204-000-t1c,0.9713508486747742,0.97249395,0.9660307,1.0,1.0,1.4142135381698608
1,BraTS-MEN-00207-000-t1c,0.8693822026252747,0.9000421,0.82605255,5.0,3.844969272613525,50.14677429199219
1,BraTS-MEN-00213-000-t1c,0.958496630191803,0.9323701,0.94462574,1.4142135381698608,1.7320507764816284,52.42086410522461
1,BraTS-MEN-00215-000-t1c,0.0,0.0,0.0,373.0,373.0,86.21783447265625
1,BraTS-MEN-00219-000-t1c,0.9453558921813964,0.9505713,0.85985273,1.0,1.0,2.8284270763397217
1,BraTS-MEN-00220-000-t1c,0.0225053112953901,0.06075401,0.37859297,63.71028137207031,54.863468170166016,36.12478256225586
1,BraTS-MEN-00224-000-t1c,0.9085004925727844,0.93609905,0.9437547,4.123105525970459,3.0,2.4494898319244385
1,BraTS-MEN-00232-000-t1c,0.8194559812545776,0.8269276,0.74452853,7.810249805450439,7.280109882354736,78.51656341552734
1,BraTS-MEN-00245-000-t1c,0.8621235489845276,0.9278266,0.8988832,2.2360680103302,2.8284270763397217,50.14977645874024
1,BraTS-MEN-00246-000-t1c,0.7125178575515747,0.6840185,0.564712,4.123105525970459,4.4721360206604,13.369731903076172
1,BraTS-MEN-00256-000-t1c,0.8428034782409668,0.8390351,0.65089846,3.0,3.0,118.90079498291016
1,BraTS-MEN-00260-000-t1c,0.84244704246521,0.87219435,0.9005862,7.348469257354736,7.0,4.242640495300293
1,BraTS-MEN-00263-000-t1c,0.0,0.0,0.0,373.0,373.0,373.0
1,BraTS-MEN-00278-000-t1c,0.0,0.0,0.0,373.0,373.0,50.779903411865234
1,BraTS-MEN-00285-000-t1c,0.773445725440979,0.7692308,0.2857928,3.0,3.605551242828369,9.643651008605955
1,BraTS-MEN-00299-000-t1c,0.9630341529846193,0.9636898,0.813103,1.0,1.0,76.75545501708984
1,BraTS-MEN-00302-000-t1c,0.9411611557006836,0.94712764,0.702801,2.8284270763397217,2.4494898319244385,85.11756896972656
1,BraTS-MEN-00305-000-t1c,1.0,0.0,0.0,373.0,373.0,65.00846099853516
1,BraTS-MEN-00318-000-t1c,0.0,0.0,0.0,92.7237777709961,93.01286315917967,85.8542251586914
1,BraTS-MEN-00327-000-t1c,0.6056892275810242,0.8091056,0.8741679,16.492422103881836,11.180339813232422,7.0
1,BraTS-MEN-00330-000-t1c,0.962700128555298,0.9560113,0.7770219,1.4142135381698608,1.4142135381698608,101.41842651367188
1,BraTS-MEN-00344-000-t1c,0.8653558492660522,0.8916333,0.92838854,5.385164737701416,5.385164737701416,3.0
1,BraTS-MEN-00353-000-t1c,0.891537606716156,0.90870607,0.9496626,5.74456262588501,4.123105525970459,2.8284270763397217
1,BraTS-MEN-00354-000-t1c,0.9232288002967834,0.81033367,0.9268397,3.0,13.266499519348145,6.082762718200684
1,BraTS-MEN-00358-000-t1c,0.8472076654434204,0.9125427,0.8309491,5.656854152679443,3.1622776985168457,12.369317054748535
1,BraTS-MEN-00363-000-t1c,0.7766749262809753,0.77124184,0.44610465,50.28916549682617,39.3344612121582,75.52979278564453
1,BraTS-MEN-00369-000-t1c,0.9517598152160645,0.88077253,0.7387173,1.4142135381698608,10.24695110321045,74.86154174804688
1,BraTS-MEN-00370-000-t1c,0.802047610282898,0.8732404,0.90785414,6.480740547180176,5.385164737701416,45.181297302246094
1,BraTS-MEN-00385-000-t1c,0.7446146607398987,0.7665537,0.756433,6.414759159088135,7.071067810058594,50.0099983215332
1,BraTS-MEN-00387-000-t1c,0.0,0.0,0.0,373.0,373.0,69.54135131835938
1,BraTS-MEN-00408-000-t1c,0.95969557762146,0.96846426,0.8438309,1.0,1.0,73.22669982910156
1,BraTS-MEN-00418-000-t1c,0.5186125040054321,0.36022514,0.035583463,6.704456806182861,9.899495124816896,59.304298400878906
1,BraTS-MEN-00434-000-t1c,0.9259244203567504,0.94427884,0.90435463,4.0,3.1622776985168457,48.73395538330078
1,BraTS-MEN-00440-000-t1c,0.9082881808280944,0.91515005,0.82692146,4.242640495300293,4.123105525970459,7.071067810058594
1,BraTS-MEN-00441-000-t1c,0.8940238356590271,0.9183734,0.9406467,4.358899116516113,3.605551242828369,2.8284270763397217
1,BraTS-MEN-00461-000-t1c,0.0,0.0,0.0,373.0,373.0,45.65084838867188
1,BraTS-MEN-00465-000-t1c,0.906654417514801,0.9218593,0.9198675,3.0,3.0,6.449663639068604
1,BraTS-MEN-00468-000-t1c,0.9317691326141356,0.9496777,0.9476006,1.4142135381698608,1.4142135381698608,1.4142135381698608
1,BraTS-MEN-00470-000-t1c,0.9694308042526244,0.97044563,0.95178914,1.0,1.0,1.7320507764816284
1,BraTS-MEN-00476-000-t1c,0.9240164160728456,0.9292716,0.9601452,1.4142135381698608,1.4142135381698608,1.4142135381698608
1,BraTS-MEN-00487-000-t1c,0.0,0.0,0.0,373.0,373.0,85.84432983398438
1,BraTS-MEN-00496-000-t1c,0.8791227340698242,0.8953788,0.782819,5.74456262588501,5.941239833831787,12.083045959472656
1,BraTS-MEN-00501-000-t1c,0.419396311044693,0.41822577,0.3557789,14.628738403320312,14.628738403320312,27.354156494140625
1,BraTS-MEN-00506-000-t1c,0.0,0.0,0.0,373.0,373.0,71.89505767822266
1,BraTS-MEN-00509-000-t1c,0.8657839298248291,0.87770694,0.9340163,8.246211051940918,8.062257766723633,4.582575798034668
1,BraTS-MEN-00510-000-t1c,0.0961373075842857,0.15185206,0.60669196,39.25557327270508,38.58756256103516,22.75961303710937
1,BraTS-MEN-00520-000-t1c,0.6828737258911133,0.69250405,0.48573408,103.212646484375,104.22955322265624,131.0686798095703
1,BraTS-MEN-00523-000-t1c,0.910619616508484,0.926156,0.8538824,2.4494898319244385,2.4494898319244385,8.303585052490234
1,BraTS-MEN-00532-000-t1c,0.0,0.0,0.0,373.0,373.0,373.0
1,BraTS-MEN-00534-000-t1c,0.0,0.0,0.0,373.0,94.3835220336914,90.90984344482422
1,BraTS-MEN-00544-000-t1c,0.8285962343215942,0.8627213,0.8503845,6.164413928985596,4.898979663848877,37.2827033996582
1,BraTS-MEN-00547-000-t1c,0.930731236934662,0.94664776,0.7357513,1.4142135381698608,1.4142135381698608,10.099504470825195
1,BraTS-MEN-00551-000-t1c,0.9635823369026184,0.97765774,0.96325004,1.0,1.0,1.4142135381698608
1,BraTS-MEN-00576-000-t1c,0.0,0.0,0.0,373.0,373.0,49.82167053222656
1,BraTS-MEN-00576-005-t1c,0.0,0.0,0.0,373.0,373.0,52.51760482788086
1,BraTS-MEN-00583-000-t1c,0.0,0.0,0.0,373.0,373.0,373.0
1,BraTS-MEN-00594-000-t1c,0.0,0.0,0.0,87.69834899902344,373.0,140.09854125976562
1,BraTS-MEN-00599-000-t1c,0.8237202763557434,0.86973274,0.91404593,7.280109882354736,6.0,7.224850177764893
1,BraTS-MEN-00607-000-t1c,0.933889091014862,0.9638883,0.9611101,1.4142135381698608,2.141606330871582,1.4142135381698608
1,BraTS-MEN-00608-000-t1c,0.9670844674110411,0.9706335,0.94938207,1.0,1.0,9.949873924255373
1,BraTS-MEN-00625-000-t1c,0.9174885749816896,0.94224536,0.94047904,3.741657495498657,3.0,3.0
1,BraTS-MEN-00627-000-t1c,0.8942685723304749,0.92019504,0.8802292,5.099019527435303,4.242640495300293,5.0
1,BraTS-MEN-00628-000-t1c,0.0,0.0,0.0,373.0,373.0,59.83101272583008
1,BraTS-MEN-00629-000-t1c,0.0,0.0,0.0,373.0,68.65420532226562,76.94151306152344
1,BraTS-MEN-00633-000-t1c,0.0,0.0,0.0,373.0,373.0,66.85430908203125
1,BraTS-MEN-00636-000-t1c,0.8910225629806519,0.91034305,0.9154342,5.0,4.690415859222412,4.123105525970459
1,BraTS-MEN-00648-000-t1c,0.0,0.0,0.0,373.0,373.0,373.0
1,BraTS-MEN-00653-000-t1c,0.0,0.0,0.0,373.0,373.0,373.0
1,BraTS-MEN-00663-000-t1c,0.0,0.0,0.0,373.0,373.0,112.8095703125
1,BraTS-MEN-00664-000-t1c,0.8889931440353394,0.890115,0.31284276,3.0,3.0,56.62155151367188
1,BraTS-MEN-00665-000-t1c,0.9264362454414368,0.9351452,0.9323451,3.0,3.0,3.464101552963257
1,BraTS-MEN-00668-000-t1c,0.0,0.0,0.0,373.0,373.0,73.35836791992188
1,BraTS-MEN-00683-000-t1c,0.9356980919837952,0.9485909,0.93466926,4.4721360206604,3.741657495498657,3.1622776985168457
