Experiment,Dice_TC,Dice_WT,Dice_ET,Dice_Avg,HD95_TC,HD95_WT,HD95_ET,HD95_Avg
Baseline (Seg Only),0.856937050819397,0.8999161124229431,0.8435061573982239,0.8667864799499512,19.25985336303711,20.662765502929688,7.220249176025391,15.714289665222168
MTL (Fixed Weights),0.8815868496894836,0.9186624884605408,0.8492441773414612,0.8831645250320435,5.597397327423096,5.896928787231445,4.336856365203857,5.2770609855651855
MTL (No Consistency),0.8797516226768494,0.9169672727584839,0.8501917123794556,0.8823035955429077,6.200611114501953,5.994320392608643,4.599582672119141,5.598171234130859
Proposed Method,0.886459469795227,0.9187051653862,0.8578436970710754,0.8876695036888123,5.389081954956055,5.116092681884766,3.9816956520080566,4.828956604003906
